genes,ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000146700.8;SSC4D,SSC4D,-1.37572190822639,-1.10990913620453,-3.05229009863947,0.00867680004176609,0.0183083776464569,-2.54363180528244
ENSG00000243568.2;AC020779.1,AC020779.1,0.607557204661967,1.51252403456871,3.36637893757347,0.00465662696319217,0.0106622061554768,-2.5439208286951
ENSG00000164398.12;ACSL6,ACSL6,0.697406437110037,1.44859314021832,3.3818215864882,0.0045162402824737,0.0103786521749697,-2.54422333506598
ENSG00000198736.11;MSRB1,MSRB1,-0.383875231378475,4.02114707132561,-3.65539490351249,0.00262818754615625,0.00648755600450198,-2.5446512454217
ENSG00000284612.1;AL591543.1,AL591543.1,0.651885931278262,2.0716465730956,3.4516110977797,0.00393291475881342,0.00921677649395783,-2.54538172565139
ENSG00000187098.15;MITF,MITF,-0.296370622525553,5.04278525257708,-3.75614435814288,0.00215469091267004,0.00547014102441001,-2.54608471575867
ENSG00000156515.23;HK1,HK1,-0.187474622974747,7.46552491152651,-3.99430263615478,0.00135054485983441,0.00364216286471847,-2.54776210734597
ENSG00000279814.1;AC010997.5,AC010997.5,-1.03260797640206,-0.817210343560413,-3.07533823251645,0.00829001759178529,0.0176203653317308,-2.54778093843045
ENSG00000150556.16;LYPD6B,LYPD6B,-1.89398729458771,-1.14574871112513,-3.04703599466371,0.00876744321827303,0.018459574004992,-2.54871229204832
ENSG00000124143.10;ARHGAP40,ARHGAP40,-1.12944202599512,1.43306034078444,-3.31672350994757,0.00513836580955508,0.0116188376323978,-2.54970475543973
ENSG00000169203.16;NPIPB12,NPIPB12,0.483672431946898,5.066920201499,3.78883398802054,0.00202043025640727,0.00517387671613103,-2.54975381836137
ENSG00000271013.1;LRRC37A9P,LRRC37A9P,0.792623608336888,0.664799021341196,3.33967762289925,0.00490976362059518,0.0111812419581697,-2.55059614160948
ENSG00000205403.13;CFI,CFI,0.634875135106008,2.37179085256176,3.50822113528839,0.00351581939355279,0.00837764611375496,-2.55092671233981
ENSG00000146373.16;RNF217,RNF217,0.506830537500837,4.98627788026879,3.80216523592216,0.00196814429744534,0.00505596481959668,-2.55123675820298
ENSG00000162896.5;PIGR,PIGR,0.761882857559076,0.859819239181386,3.30099926487201,0.00530108364412391,0.0119506400436342,-2.55242644804113
ENSG00000159753.13;CARMIL2,CARMIL2,2.70466288846337,-0.953150322375529,3.05147807680417,0.00869074809136472,0.0183298520325953,-2.55314649192423
ENSG00000103534.16;TMC5,TMC5,1.35183356699012,-1.11335055891628,3.06796887790935,0.00841179148988263,0.017842137420015,-2.55577682441331
ENSG00000203546.7;AL139353.1,AL139353.1,0.593571804708307,1.50451158028262,3.36915415361318,0.00463107926229534,0.0106074573184204,-2.55641605303696
ENSG00000164715.5;LMTK2,LMTK2,0.225139274464759,6.17859827367397,3.90388512523395,0.00161188351233759,0.00424738623307929,-2.55794694742125
ENSG00000120519.14;SLC10A7,SLC10A7,-0.6033724790615,3.05888148720608,-3.54656425836028,0.00325889968652039,0.00783554414550544,-2.55881939475317
ENSG00000150637.8;CD226,CD226,0.985735763442625,1.64878170174728,3.39345532993494,0.00441329013450132,0.0101815403687035,-2.56011616664356
ENSG00000141867.17;BRD4,BRD4,0.266768640791265,7.73049769519694,4.02429417564449,0.00127375475797598,0.00345471997685661,-2.5606245890995
ENSG00000133460.19;SLC2A11,SLC2A11,-0.542852939172321,4.14883973076104,-3.66883249983645,0.00255939409352859,0.00634513053099197,-2.56123960153875
